source,name,n,capacity,bf_time,dp_time,gr_time,bf_val,dp_val,gr_val,gr_ratio
kplib,kplib/00Uncorrelated/n00050/R01000/s000.kp,50,14778,,0.05677729198941961,8.37500556372106e-06,,20995,20995,1.0
kplib,kplib/00Uncorrelated/n00050/R01000/s001.kp,50,13598,,0.05148412501148414,7.957991329021752e-06,,19836,19836,1.0
kplib,kplib/00Uncorrelated/n00050/R01000/s002.kp,50,13810,,0.05281062499852851,8.082992280833423e-06,,20561,20553,0.999610913866057
kplib,kplib/01WeaklyCorrelated/n00050/R01000/s000.kp,50,14239,,0.053796457999851555,8.125003660097718e-06,,15768,15712,0.9964485032978183
kplib,kplib/01WeaklyCorrelated/n00050/R01000/s001.kp,50,11793,,0.04503087500052061,8.208007784560323e-06,,13214,13171,0.9967458755864992
kplib,kplib/01WeaklyCorrelated/n00050/R01000/s002.kp,50,13570,,0.052282166012446396,7.333990652114153e-06,,15065,14973,0.9938931297709923
kplib,kplib/02StronglyCorrelated/n00050/R01000/s000.kp,50,14239,,0.054359708999982104,8.540999260731041e-06,,17539,17176,0.9793032670049604
kplib,kplib/02StronglyCorrelated/n00050/R01000/s001.kp,50,11793,,0.04480512499867473,7.834009011276066e-06,,15293,14632,0.9567776106715491
kplib,kplib/02StronglyCorrelated/n00050/R01000/s002.kp,50,13570,,0.0519709999935003,8.167000487446785e-06,,16970,16651,0.9812021213906894
kplib,kplib/00Uncorrelated/n00100/R01000/s000.kp,100,22545,,0.17492925000260584,1.750000228639692e-05,,46537,46365,0.9963040161591852
kplib,kplib/00Uncorrelated/n00100/R01000/s001.kp,100,22714,,0.17533379199448973,1.6584002878516912e-05,,41049,41049,1.0
kplib,kplib/00Uncorrelated/n00100/R01000/s002.kp,100,21618,,0.1685722080001142,1.654100196901709e-05,,45504,45500,0.9999120956399438
kplib,kplib/01WeaklyCorrelated/n00100/R01000/s000.kp,100,29017,,0.2230138330050977,1.5375000657513738e-05,,31064,31012,0.9983260365696627
kplib,kplib/01WeaklyCorrelated/n00100/R01000/s001.kp,100,25391,,0.19498083301004954,1.6166013665497303e-05,,27624,27565,0.9978641760787721
kplib,kplib/01WeaklyCorrelated/n00100/R01000/s002.kp,100,27381,,0.21135095799400005,1.575000351294875e-05,,29321,29301,0.9993178950240442
kplib,kplib/02StronglyCorrelated/n00100/R01000/s000.kp,100,29017,,0.22357870900304988,1.5208002878353e-05,,35617,35372,0.9931212623185558
kplib,kplib/02StronglyCorrelated/n00100/R01000/s001.kp,100,25391,,0.19502883299719542,1.6000005416572094e-05,,32291,31928,0.9887584775943762
kplib,kplib/02StronglyCorrelated/n00100/R01000/s002.kp,100,27381,,0.21117379199131392,1.5666999388486147e-05,,34181,33955,0.9933881396097247
kplib,kplib/00Uncorrelated/n00200/R01000/s000.kp,200,50310,,0.7847593750047963,3.358400135766715e-05,,84317,84208,0.9987072595087586
kplib,kplib/00Uncorrelated/n00200/R01000/s001.kp,200,48873,,0.7629515409935266,3.445899346843362e-05,,78918,78866,0.9993410882181505
kplib,kplib/00Uncorrelated/n00200/R01000/s002.kp,200,51362,,0.8013060840021353,3.6249999538995326e-05,,80297,80267,0.999626387038121
kplib,kplib/01WeaklyCorrelated/n00200/R01000/s000.kp,200,51563,,0.8070939170138445,3.325000579934567e-05,,56976,56963,0.9997718337545634
kplib,kplib/01WeaklyCorrelated/n00200/R01000/s001.kp,200,48106,,0.7507450409902958,3.22499981848523e-05,,53514,53512,0.9999626266023844
kplib,kplib/01WeaklyCorrelated/n00200/R01000/s002.kp,200,49000,,0.7796694159915205,3.4334007068537176e-05,,54414,54380,0.9993751608042049
kplib,kplib/02StronglyCorrelated/n00200/R01000/s000.kp,200,51563,,0.8119772089994512,3.433300298638642e-05,,65363,64949,0.9936661413949788
kplib,kplib/02StronglyCorrelated/n00200/R01000/s001.kp,200,48106,,0.7572602500003995,3.412499791011214e-05,,62206,61956,0.995981095071215
kplib,kplib/02StronglyCorrelated/n00200/R01000/s002.kp,200,49000,,0.7704856670025038,3.329099854454398e-05,,63100,62457,0.989809825673534
jooken,jooken/n_400_c_10000000000_g_10_f_0.3_eps_1e-05_s_300,400,10000000000,,,7.675000233575702e-05,,,9987600737,
jooken,jooken/n_400_c_10000000000_g_14_f_0.1_eps_0_s_300,400,10000000000,,,7.258399273268878e-05,,,9998810882,
jooken,jooken/n_400_c_10000000000_g_2_f_0.2_eps_0.1_s_200,400,10000000000,,,7.008299871813506e-05,,,6000008273,
jooken,jooken/n_400_c_10000000000_g_6_f_0.2_eps_0.01_s_100,400,10000000000,,,6.849999772384763e-05,,,9812505184,
jooken,jooken/n_400_c_10000000000_g_6_f_0.3_eps_0_s_300,400,10000000000,,,7.029199332464486e-05,,,9687523982,
jooken,jooken/n_400_c_100000000_g_10_f_0.3_eps_0.01_s_100,400,100000000,,,6.708399450872093e-05,,,98962461,
jooken,jooken/n_400_c_100000000_g_14_f_0.1_eps_1e-05_s_200,400,100000000,,,6.670800212305039e-05,,,100006617,
jooken,jooken/n_400_c_100000000_g_2_f_0.1_eps_0.01_s_300,400,100000000,,,6.491699605248868e-05,,,51006273,
jooken,jooken/n_400_c_100000000_g_2_f_0.1_eps_0.1_s_200,400,100000000,,,6.245801341719925e-05,,,60003905,
jooken,jooken/n_400_c_100000000_g_2_f_0.3_eps_0.1_s_100,400,100000000,,,6.512500112876296e-05,,,60005726,
jooken,jooken/n_400_c_100000000_g_2_f_0.3_eps_1e-05_s_300,400,100000000,,,6.666700937785208e-05,,,50019355,
jooken,jooken/n_400_c_100000000_g_6_f_0.3_eps_0_s_100,400,100000000,,,6.845800089649856e-05,,,96882093,
jooken,jooken/n_400_c_1000000_g_10_f_0.1_eps_0.01_s_300,400,1000000,,28.607619457994588,7.133300823625177e-05,,1009970,1001973,0.9920819430280108
jooken,jooken/n_400_c_1000000_g_10_f_0.1_eps_0.1_s_200,400,1000000,,26.413230791993556,6.350000330712646e-05,,1002853,972268,0.9695020107632923
jooken,jooken/n_400_c_1000000_g_10_f_0.2_eps_0_s_100,400,1000000,,29.807542499998817,6.299999949987978e-05,,1004245,1004227,0.9999820760870106
jooken,jooken/n_400_c_1000000_g_10_f_0.2_eps_0_s_200,400,1000000,,29.638696958005312,6.374999065883458e-05,,1008741,1008722,0.9999811646398827
jooken,jooken/n_400_c_1000000_g_10_f_0.3_eps_0.001_s_200,400,1000000,,29.648341457999777,6.745899736415595e-05,,1008599,1008167,0.9995716830970485
jooken,jooken/n_400_c_1000000_g_14_f_0.3_eps_0.0001_s_100,400,1000000,,30.790729042011662,6.920799205545336e-05,,1005591,1005537,0.999946300235384
jooken,jooken/n_400_c_1000000_g_2_f_0.2_eps_0_s_100,400,1000000,,19.508087750000414,6.395799573510885e-05,,503886,503883,0.9999940462723711
jooken,jooken/n_400_c_1000000_g_6_f_0.1_eps_0.001_s_100,400,1000000,,26.51336724999419,8.033300400711596e-05,,1001600,997586,0.9959924121405751
jooken,jooken/n_400_c_1000000_g_6_f_0.1_eps_0.1_s_100,400,1000000,,23.867556833007257,6.60419900668785e-05,,996005,952520,0.9563405806195752
jooken,jooken/n_600_c_10000000000_g_10_f_0.1_eps_0.001_s_200,600,10000000000,,,0.00011558299593161792,,,9995332695,
jooken,jooken/n_600_c_10000000000_g_10_f_0.3_eps_0.0001_s_200,600,10000000000,,,0.00011037499643862247,,,9992373598,
jooken,jooken/n_600_c_10000000000_g_10_f_0.3_eps_1e-05_s_300,600,10000000000,,,0.00015091701061464846,,,9989314231,
jooken,jooken/n_600_c_10000000000_g_2_f_0.2_eps_0.1_s_300,600,10000000000,,,0.00010775000555440784,,,6000018158,
jooken,jooken/n_600_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,600,10000000000,,,0.00011479100794531405,,,9711508666,
jooken,jooken/n_600_c_100000000_g_10_f_0.1_eps_0.001_s_200,600,100000000,,,0.00011054100468754768,,,99964417,
